timestamp,handle,displayName,followers,accountType,region,country,sentiment,sentimentScore,likes,retweets,replies,tweetUrl,text
2026-07-02T01:39:34.000Z,"@jukan05","Jukan @ ICML","155.3K","amplifier","South Korea","South Korea",neutral,0,16,,1,"https://x.com/jukan05/status/2072495363358126289",""
2026-07-02T01:07:12.000Z,"@QQ_Timmy","駿HaYaO","28.6K","amplifier","Asia","Asia",neutral,0,13,,,"https://x.com/QQ_Timmy/status/2072487217029951849","早安！7/2 外電綜合整理  - 2454聯發科: 美系升目標 美系券商上修明後年AISC營到203 億/525億美元（～之前預估123億/480億），預估ASIC今明年將佔總營收各為49%/ 69%。上修明後年EPS至$182/$422.2，以2H27-1H28E 的25xPE評價，同步升目標。  - 3711日月光：歐系升目標"
2026-07-02T00:18:59.000Z,"@dnystedt","Dan Nystedt","51.5K","amplifier","Taiwan","Taiwan",neutral,0,1,,,"https://x.com/dnystedt/status/2072475084003090918","Links:  https:// ctee.com.tw/news/202607027 00240-439901 …   https:// money.udn.com/money/story/11 162/9595502 …   https:// news.cnyes.com/news/id/6518624"
2026-07-02T00:18:47.000Z,"@dnystedt","Dan Nystedt","51.5K","amplifier","Taiwan","Taiwan",neutral,0,7,2,1,"https://x.com/dnystedt/status/2072475034762039729","Wiwynn, the AI server giant, is speeding up construction at its El Paso, Texas plant (USA) and has acquired land in Malaysia for a 3rd factory there, media report, adding new production lines are being installed at the 1st & 2nd plants (both in volume production since 2024, 2025,"
2026-07-02T00:10:43.000Z,"@jukan05","Jukan @ ICML","155.3K","amplifier","South Korea","South Korea",neutral,0,14,,,"https://x.com/jukan05/status/2072473005532532762","Fortunately, I didn’t buy any photonics stocks!"
2026-07-02T00:07:20.000Z,"@jukan05","Jukan @ ICML","155.3K","amplifier","South Korea","South Korea",negative,-4.939,590,54,91,"https://x.com/jukan05/status/2072472153610711165","Ssibal  My 2x leveraged SK hynix position is getting destroyed."
2026-07-02T01:44:00.000Z,"@LinQingV","Macro_Lin ｜ 市场观察员","51.6K","amplifier","China","China",neutral,0,3,,,"https://x.com/LinQingV/status/2072496480804589969","风格调整一半个月，又会回来。毕竟之前的才是主线"
2026-07-02T01:38:51.000Z,"@LinQingV","Macro_Lin ｜ 市场观察员","51.6K","amplifier","China","China",neutral,0,,,1,"https://x.com/LinQingV/status/2072495181769940996","过去一个月市场风格太极端了"
2026-07-02T01:32:28.000Z,"@LinQingV","Macro_Lin ｜ 市场观察员","51.6K","amplifier","China","China",neutral,0,3,,4,"https://x.com/LinQingV/status/2072493577192755470","风格明显切换，软件股开始反弹。星环科技是不是可以冲一波？"
2026-07-02T01:03:17.000Z,"@HyperTechInvest","Daniel Romero","41.1K","amplifier","United States","United States",neutral,0,,,,"https://x.com/HyperTechInvest/status/2072486233960292602","Glass substrates and PLP"
2026-07-02T01:02:23.000Z,"@HyperTechInvest","Daniel Romero","41.1K","amplifier","United States","United States",positive,4.875,1,,,"https://x.com/HyperTechInvest/status/2072486006721282255","That’s the nature of social media. Who knows if he really has insider info? There’s much more to gain than to lose by making stuff up  Not saying he lied, just generally speaking"
2026-07-02T00:58:33.000Z,"@HyperTechInvest","Daniel Romero","41.1K","amplifier","United States","United States",neutral,0,2,,1,"https://x.com/HyperTechInvest/status/2072485041142153499","I was referring more to the interpretation people were making of it, not so much to your post, which I interpreted as a neutral/factual take"
2026-07-02T00:39:34.000Z,"@zephyr_z9","Zephyr","156.4K","amplifier","South Korea","South Korea",neutral,0,5,,1,"https://x.com/zephyr_z9/status/2072480265163927729","The InP guys too"
2026-07-02T00:38:48.000Z,"@HyperTechInvest","Daniel Romero","41.1K","amplifier","United States","United States",positive,8.912,20,3,4,"https://x.com/HyperTechInvest/status/2072480069805584880","Are we doing DeepSeek/TurboQuant all over again?  Really?  Did we learn nothing from that?  If memory becomes more efficient, do people not understand that this would make memory more valuable and useful, increasing memory prices even further?  If we’re short inference and can"
2026-07-02T00:30:23.000Z,"@zephyr_z9","Zephyr","156.4K","amplifier","South Korea","South Korea",positive,4.824,1,,1,"https://x.com/zephyr_z9/status/2072477952655433810","Shengyi can make M8"
2026-07-02T00:22:37.000Z,"@zephyr_z9","Zephyr","156.4K","amplifier","South Korea","South Korea",neutral,0,230,10,12,"https://x.com/zephyr_z9/status/2072475999288336446","My boy Andrew blew up KOSPI today with one tweet "
2026-07-02T00:18:27.000Z,"@zephyr_z9","Zephyr","156.4K","amplifier","South Korea","South Korea",negative,-0.572,107,4,5,"https://x.com/zephyr_z9/status/2072474950557225237","Frontier labs don't want to sell or serve mid/small sized models"
2026-07-02T00:08:39.000Z,"@zephyr_z9","Zephyr","156.4K","amplifier","South Korea","South Korea",neutral,0,25,1,5,"https://x.com/zephyr_z9/status/2072472484247646604","The whole photonics trade will blow up if VCSELs are adopted for scale up "
2026-07-02T01:54:28.000Z,"@insane_analyst","Irrational Analysis","40.8K","amplifier","International","International",neutral,0,4,2,,"https://x.com/insane_analyst/status/2072499111547527652","[Market Memo] Hot Summer Topics  https:// open.substack.com/pub/irrational analysis/p/market-memo-hot-summer-topics?r=28k8q1&utm_campaign=post&utm_medium=web&showWelcomeOnShare=true …"
2026-07-02T01:42:56.000Z,"@pequityresearch","P Equity Research ","8,899","amplifier","International","International",neutral,0,10,2,,"https://x.com/pequityresearch/status/2072496210477232240","$INTC  "
2026-07-02T01:25:06.000Z,"@pequityresearch","P Equity Research ","8,899","amplifier","International","International",positive,4.939,,,1,"https://x.com/pequityresearch/status/2072491722899132670","basically. im guessing the Trump administration will allow this to happen then...not sure"
2026-07-02T01:14:11.000Z,"@pequityresearch","P Equity Research ","8,899","amplifier","International","International",neutral,0,1,,,"https://x.com/pequityresearch/status/2072488975554552247",""
2026-07-02T01:00:16.000Z,"@qinbafrank","qinbafrank","145.9K","amplifier","International","International",neutral,0,,,1,"https://x.com/qinbafrank/status/2072485473566822898","现在就不好说谁空间更大了，毕竟coin跌出了性价比"
2026-07-02T00:49:53.000Z,"@semivision_tw","SemiVision  ","11.7K","competitor","Taiwan","Taiwan",neutral,0,1,,1,"https://x.com/semivision_tw/status/2072482860775489941","@grok  which states are not included?"
2026-07-02T00:49:50.000Z,"@dmjk001","快讯","24.6K","amplifier","China","China",neutral,0,,2,,"https://x.com/dmjk001/status/2072482848913977364","彭博：韩国股市暴跌，因 Meta出售算力的计划引发了对人工智能产能过剩的担忧，导致芯片制造商股票遭到抛售。"
2026-07-02T00:23:08.000Z,"@semivision_tw","SemiVision  ","11.7K","competitor","Taiwan","Taiwan",positive,8.75,1,,1,"https://x.com/semivision_tw/status/2072476130255462840","More Europeans are leaving their home countries in search of better opportunities.  The issue is not only migration. It is about wages, housing costs, job prospects, quality of life, aging populations, and the free movement of labor across Europe.  For young and highly educated"
2026-07-02T00:09:16.000Z,"@semivision_tw","SemiVision  ","11.7K","competitor","Taiwan","Taiwan",positive,4.019,,,,"https://x.com/semivision_tw/status/2072472640800084364","Yes"
